psu,finwgt,stratum,Qn1,Qn2,Qn3,ECIGT,ECIGAR,ESLT,EELCIGT,EROLLCIGTS,EFLAVCIGTS,EBIDIS,EFLAVCIGAR,EHOOKAH,EPIPE,ESNUS,EDISSOLV,CCIGT,CCIGAR,CSLT,CELCIGT,CROLLCIGTS,CFLAVCIGTS,CBIDIS,CHOOKAH,CPIPE,CSNUS,CDISSOLV
015438,216.726790254,BR3,9,2,7,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2
015438,216.726790254,BR3,10,2,7,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,324.962044978,BR3,10,1,7,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2
015438,324.962044978,BR3,11,1,7,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,324.962044978,BR3,10,1,7,1,1,2,1,1,2,2,2,1,2,2,2,2,NA,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,10,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,9,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,9,2,7,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2
015438,216.726790254,BR3,11,2,7,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,10,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,264.874520736,BR3,10,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,264.874520736,BR3,10,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,226.461343521,BR3,9,1,7,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,183.556341603,BR3,9,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,264.874520736,BR3,9,2,7,1,1,2,1,2,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2
015438,264.874520736,BR3,9,2,7,1,2,2,1,2,2,2,2,2,2,2,2,2,2,NA,1,2,2,2,2,2,2,2
015438,324.962044978,BR3,9,1,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,397.155173202,BR3,10,1,7,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,10,2,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,264.874520736,BR3,10,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,913.662847733,BR3,6,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
015438,1350.80422384,BR3,6,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1339.844068854,BR3,7,1,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1350.80422384,BR3,7,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2
015438,592.927318159,BR3,7,2,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,913.662847733,BR3,6,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1427.095661535,BR3,8,2,5,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
015438,636.842131027,BR3,9,1,6,1,1,2,NA,1,2,2,2,2,2,2,2,1,NA,NA,NA,1,2,2,2,2,2,2
015438,1350.80422384,BR3,6,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,913.662847733,BR3,6,2,4,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
015438,913.662847733,BR3,7,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1339.844068854,BR3,6,1,4,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1350.80422384,BR3,7,1,4,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2
015438,1350.80422384,BR3,7,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,913.662847733,BR3,7,2,4,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,906.249570339,BR3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,275.225984134,BR3,4,1,1,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
015438,636.842131027,BR3,9,1,6,1,1,1,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2
015438,636.842131027,BR3,8,1,6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,636.842131027,BR3,9,1,6,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
015438,1384.636940254,BR3,9,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,9,2,6,1,1,2,1,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2
015438,636.842131027,BR3,9,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,8,2,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1350.80422384,BR3,7,1,4,1,NA,1,NA,2,2,1,2,2,2,2,2,1,NA,1,NA,2,2,2,2,2,1,2
015438,906.249570339,BR3,7,2,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
015438,1350.80422384,BR3,6,1,4,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
015438,1339.844068854,BR3,6,1,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
015438,1339.844068854,BR3,7,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1339.844068854,BR3,7,1,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
015438,906.249570339,BR3,6,2,4,1,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2
015438,1350.80422384,BR3,7,1,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
015438,913.662847733,BR3,7,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
015438,913.662847733,BR3,7,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,913.662847733,BR3,7,2,4,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,2,2
015438,913.662847733,BR3,7,2,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
015438,379.384876748,BR3,6,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,324.962044978,BR3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,324.962044978,BR3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.300647213,BR3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,711.816138456,BR3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,711.816138456,BR3,5,1,2,NA,1,1,NA,2,1,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,1
015438,711.816138456,BR3,5,1,2,NA,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.300647213,BR3,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
015438,608.927518926,BR3,6,1,2,1,NA,2,NA,2,1,2,2,2,2,2,2,1,NA,2,2,2,2,2,2,2,1,2
015438,711.816138456,BR3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.300647213,BR3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.300647213,BR3,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,816.730208551,BR3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,711.816138456,BR3,5,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
015438,816.730208551,BR3,5,1,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,NA
015438,816.730208551,BR3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,816.730208551,BR3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,711.816138456,BR3,5,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
015438,766.300647213,BR3,4,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
015438,711.816138456,BR3,5,1,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2
015438,711.816138456,BR3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
